file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Projetos\LabExperimentacao\medicao-lab2\repos\sqlbrite\sqlbrite\src\androidTest\java\com\squareup\sqlbrite3\SqlBriteTest.java,com.squareup.sqlbrite3.SqlBriteTest$Anonymous1,apply/1[com.squareup.sqlbrite3.Cursor],false,65,2,2,0,2,1,2,4,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\sqlbrite\sample\src\main\java\com\example\sqlbrite\todo\db\DbModule.java,com.example.sqlbrite.todo.db.DbModule,"provideDatabase/2[com.squareup.sqlbrite3.SqlBrite,com.example.sqlbrite.todo.db.Application]",false,43,10,3,0,3,1,8,8,1,4,2,8,0,0,0,0,0,0,1,0,4,0,0,0,0,0,21,0,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\sqlbrite\sample\src\main\java\com\example\sqlbrite\todo\db\DbModule.java,com.example.sqlbrite.todo.db.DbModule,provideSqlBrite/0,false,33,5,4,0,4,1,2,8,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\sqlbrite\sqlbrite\src\androidTest\java\com\squareup\sqlbrite3\SqlBriteTest.java,com.squareup.sqlbrite3.SqlBriteTest$Anonymous2,run/0,false,75,2,7,0,7,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\sqlbrite\sqlbrite\src\main\java\com\squareup\sqlbrite3\SqlBrite.java,com.squareup.sqlbrite3.SqlBrite$Builder,"queryTransformer/1[com.squareup.sqlbrite3.ObservableTransformer<com.squareup.sqlbrite3.SqlBrite.Query,com.squareup.sqlbrite3.SqlBrite.Query>]",false,67,4,1,1,0,2,0,5,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,7,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\sqlbrite\sqlbrite\src\main\java\com\squareup\sqlbrite3\SqlBrite.java,com.squareup.sqlbrite3.SqlBrite$Builder,build/0,false,74,2,3,2,1,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\sqlbrite\sqlbrite\src\main\java\com\squareup\sqlbrite3\SqlBrite.java,com.squareup.sqlbrite3.SqlBrite$Builder,logger/1[com.squareup.sqlbrite3.SqlBrite.Logger],false,60,4,2,2,0,2,0,5,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,7,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\sqlbrite\sample\src\main\java\com\example\sqlbrite\todo\ui\ItemsFragment.java,com.example.sqlbrite.todo.ui.ItemsFragment$Anonymous6,accept/1[java.lang.String],false,194,0,9,0,9,1,2,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\sqlbrite\sqlbrite\src\androidTest\java\com\squareup\sqlbrite3\SqlBriteTest.java,com.squareup.sqlbrite3.SqlBriteTest$Anonymous3,apply/1[com.squareup.sqlbrite3.Cursor],false,82,2,2,0,2,1,2,4,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\sqlbrite\sqlbrite\src\androidTest\java\com\squareup\sqlbrite3\SqlBriteTest.java,com.squareup.sqlbrite3.SqlBriteTest,asRowsStopsWhenUnsubscribed/0,false,57,5,2,0,2,1,7,15,0,3,0,7,0,0,0,0,0,0,4,2,3,0,0,1,0,0,28,1,0,false
