file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ssm\src\main\java\com\soecode\lyf\entity\Book.java,com.soecode.lyf.entity.Book,class,0,6,6,0,9,1,0,0,4,0.5555556,0.0,0.0,9,0,9,0,0,0,9,0,0,0,3,0,0,3,0,0,0,0,0,33,4,0,0,0,0,4,0,6,1,3,0,0,0,0,11,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ssm\src\main\java\com\soecode\lyf\exception\AppointException.java,com.soecode.lyf.exception.AppointException,class,0,1,1,0,2,4,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ssm\src\test\java\com\soecode\lyf\service\impl\BookServiceImplTest.java,com.soecode.lyf.service.impl.BookServiceImplTest,class,5,5,0,5,1,2,0,2,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,9,0,0,0,0,0,0,2,3,0,4,0,0,0,0,15,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ssm\src\main\java\com\soecode\lyf\exception\NoNumberException.java,com.soecode.lyf.exception.NoNumberException,class,0,1,1,0,2,4,0,0,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ssm\src\main\java\com\soecode\lyf\dao\BookDao.java,com.soecode.lyf.dao.BookDao,interface,2,4,2,2,3,1,0,0,3,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0,0,0,12,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ssm\src\test\java\com\soecode\lyf\dao\BookDaoTest.java,com.soecode.lyf.dao.BookDaoTest,class,5,5,0,5,4,2,0,5,0,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,1,0,0,1,0,0,0,0,0,19,0,1,0,0,0,1,4,5,1,6,1,0,0,0,15,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ssm\src\test\java\com\soecode\lyf\web\BookControllerTest.java,com.soecode.lyf.web.BookControllerTest,class,19,19,0,19,5,2,0,20,0,0.56000006,0.0,0.0,5,0,5,0,0,0,5,0,0,0,5,0,0,5,0,0,0,0,12,22,0,0,0,0,0,11,2,5,0,5,0,0,0,0,39,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ssm\src\main\java\com\soecode\lyf\dto\Result.java,com.soecode.lyf.dto.Result,class,1,2,1,1,10,1,0,0,5,0.56666666,0.0,0.0,10,0,10,0,0,0,10,0,0,0,3,0,0,3,0,0,0,0,0,36,4,0,0,0,0,4,0,7,1,3,0,0,0,0,13,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ssm\src\main\java\com\soecode\lyf\entity\Appointment.java,com.soecode.lyf.entity.Appointment,class,1,5,4,1,12,1,0,0,12,0.625,0.0,0.0,12,0,12,0,0,0,12,0,0,0,4,0,0,4,0,0,0,0,0,46,5,0,0,0,0,4,0,11,1,4,0,0,0,0,14,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ssm\src\main\java\com\soecode\lyf\dao\AppointmentDao.java,com.soecode.lyf.dao.AppointmentDao,interface,2,4,2,2,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,0,0,0,0,0,11,1,0
