file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Projetos\LabExperimentacao\medicao-lab2\repos\sticky-headers-recyclerview\library\src\androidTest\java\com\timehop\stickyheadersrecyclerview\ApplicationTest.java,com.timehop.stickyheadersrecyclerview.ApplicationTest,ApplicationTest/0,true,10,1,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\sticky-headers-recyclerview\library\src\main\java\com\timehop\stickyheadersrecyclerview\caching\HeaderViewCache.java,com.timehop.stickyheadersrecyclerview.caching.HeaderViewCache,"getHeader/2[com.timehop.stickyheadersrecyclerview.caching.RecyclerView,int]",false,28,5,4,0,4,4,20,28,1,7,2,20,0,0,0,3,0,0,0,2,10,2,2,0,0,0,17,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\sticky-headers-recyclerview\library\src\main\java\com\timehop\stickyheadersrecyclerview\caching\HeaderViewCache.java,com.timehop.stickyheadersrecyclerview.caching.HeaderViewCache,invalidate/0,false,65,0,0,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\sticky-headers-recyclerview\library\src\main\java\com\timehop\stickyheadersrecyclerview\caching\HeaderViewCache.java,com.timehop.stickyheadersrecyclerview.caching.HeaderViewCache,"HeaderViewCache/2[com.timehop.stickyheadersrecyclerview.StickyRecyclerHeadersAdapter,com.timehop.stickyheadersrecyclerview.util.OrientationProvider]",true,22,2,1,1,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,12,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\sticky-headers-recyclerview\sample\src\main\java\com\timehop\stickyheadersrecyclerview\sample\DividerDecoration.java,com.timehop.stickyheadersrecyclerview.sample.DividerDecoration,"getItemOffsets/4[com.timehop.stickyheadersrecyclerview.sample.Rect,com.timehop.stickyheadersrecyclerview.sample.View,com.timehop.stickyheadersrecyclerview.sample.RecyclerView,RecyclerView.State]",false,88,5,1,0,1,2,5,9,0,0,4,5,1,1,0,1,0,0,0,6,0,0,1,0,0,0,17,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\sticky-headers-recyclerview\sample\src\main\java\com\timehop\stickyheadersrecyclerview\sample\DividerDecoration.java,com.timehop.stickyheadersrecyclerview.sample.DividerDecoration,"drawVertical/2[com.timehop.stickyheadersrecyclerview.sample.Canvas,com.timehop.stickyheadersrecyclerview.sample.RecyclerView]",false,53,3,1,1,0,2,15,15,0,10,2,15,0,0,1,0,0,0,0,1,10,4,1,0,0,0,17,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\sticky-headers-recyclerview\sample\src\main\java\com\timehop\stickyheadersrecyclerview\sample\DividerDecoration.java,com.timehop.stickyheadersrecyclerview.sample.DividerDecoration,"drawHorizontal/2[com.timehop.stickyheadersrecyclerview.sample.Canvas,com.timehop.stickyheadersrecyclerview.sample.RecyclerView]",false,70,3,1,1,0,2,15,15,0,10,2,15,0,0,1,0,0,0,0,1,10,4,1,0,0,0,17,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\sticky-headers-recyclerview\sample\src\main\java\com\timehop\stickyheadersrecyclerview\sample\DividerDecoration.java,com.timehop.stickyheadersrecyclerview.sample.DividerDecoration,getOrientation/1[com.timehop.stickyheadersrecyclerview.sample.RecyclerView],false,31,2,2,2,0,2,2,10,1,1,1,2,0,0,0,0,1,0,2,0,1,1,1,0,0,0,21,2,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\sticky-headers-recyclerview\sample\src\main\java\com\timehop\stickyheadersrecyclerview\sample\DividerDecoration.java,com.timehop.stickyheadersrecyclerview.sample.DividerDecoration,"onDraw/3[com.timehop.stickyheadersrecyclerview.sample.Canvas,com.timehop.stickyheadersrecyclerview.sample.RecyclerView,RecyclerView.State]",false,43,4,3,0,3,2,4,9,0,0,3,4,3,1,0,1,0,0,0,0,0,0,1,0,0,0,20,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\sticky-headers-recyclerview\sample\src\main\java\com\timehop\stickyheadersrecyclerview\sample\DividerDecoration.java,com.timehop.stickyheadersrecyclerview.sample.DividerDecoration,DividerDecoration/1[com.timehop.stickyheadersrecyclerview.sample.Context],true,25,2,1,1,0,1,3,5,0,1,1,3,0,0,0,0,0,0,0,1,2,0,0,0,0,0,12,1,0,false
