file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Projetos\LabExperimentacao\medicao-lab2\repos\subsampling-scale-image-view\sample\src\main\java\com\davemorrissey\labs\subscaleview\test\animation\AnimationActivity.java,com.davemorrissey.labs.subscaleview.test.animation.AnimationActivity,play/0,false,54,5,13,1,12,3,14,17,0,6,0,14,0,0,0,1,0,2,0,3,6,3,2,0,0,0,25,2,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\subsampling-scale-image-view\sample\src\main\java\com\davemorrissey\labs\subscaleview\test\animation\AnimationActivity.java,com.davemorrissey.labs.subscaleview.test.animation.AnimationActivity,onCreate/1[com.davemorrissey.labs.subscaleview.test.animation.Bundle],false,36,5,2,0,2,1,5,11,0,0,1,5,0,0,0,0,0,0,1,0,1,0,0,1,0,0,15,4,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\subsampling-scale-image-view\sample\src\main\java\com\davemorrissey\labs\subscaleview\test\animation\AnimationActivity.java,com.davemorrissey.labs.subscaleview.test.animation.AnimationActivity,onPageChanged/1[int],false,46,1,1,0,1,2,1,8,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,17,4,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\subsampling-scale-image-view\sample\src\main\java\com\davemorrissey\labs\subscaleview\test\animation\AnimationActivity.java,com.davemorrissey.labs.subscaleview.test.animation.AnimationActivity,AnimationActivity/0,true,26,1,1,0,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\subsampling-scale-image-view\sample\src\main\java\com\davemorrissey\labs\subscaleview\test\extension\views\PinView.java,com.davemorrissey.labs.subscaleview.test.extension.views.PinView,setPin/1[com.davemorrissey.labs.subscaleview.test.extension.views.PointF],false,26,2,3,2,1,1,2,5,0,0,1,2,1,1,0,0,0,0,0,0,1,0,0,0,0,0,7,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\subsampling-scale-image-view\sample\src\main\java\com\davemorrissey\labs\subscaleview\test\extension\views\PinView.java,com.davemorrissey.labs.subscaleview.test.extension.views.PinView,initialise/0,false,32,0,2,2,0,1,6,7,0,3,0,6,0,0,0,0,0,2,0,2,5,4,0,0,0,0,8,2,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\subsampling-scale-image-view\sample\src\main\java\com\davemorrissey\labs\subscaleview\test\extension\views\PinView.java,com.davemorrissey.labs.subscaleview.test.extension.views.PinView,PinView/1[com.davemorrissey.labs.subscaleview.test.extension.views.Context],true,17,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\subsampling-scale-image-view\sample\src\main\java\com\davemorrissey\labs\subscaleview\test\extension\views\PinView.java,com.davemorrissey.labs.subscaleview.test.extension.views.PinView,onDraw/1[com.davemorrissey.labs.subscaleview.test.extension.views.Canvas],false,41,2,2,0,2,4,7,13,1,2,1,7,0,0,0,2,0,1,0,1,2,3,1,0,0,0,18,4,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\subsampling-scale-image-view\sample\src\main\java\com\davemorrissey\labs\subscaleview\test\extension\views\PinView.java,com.davemorrissey.labs.subscaleview.test.extension.views.PinView,"PinView/2[com.davemorrissey.labs.subscaleview.test.extension.views.Context,com.davemorrissey.labs.subscaleview.test.extension.views.AttributeSet]",true,21,3,1,0,1,1,1,4,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\subsampling-scale-image-view\library\src\main\java\com\davemorrissey\labs\subscaleview\decoder\DecoderFactory.java,com.davemorrissey.labs.subscaleview.decoder.DecoderFactory,make/0,false,13,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,true
