file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Projetos\LabExperimentacao\medicao-lab2\repos\tech-weekly\2018.11.30「小马哥技术周报」- 第十期《Spring Cloud Alibaba RPC 实现前哨站 - Apache Dubbo》\dubbo-demo\dubbo-consumer-demo\src\main\java\demo\dubbo\spring\boot\consumer\DubboConsumerBootstrap.java,demo.dubbo.spring.boot.consumer.DubboConsumerBootstrap,class,7,8,1,7,2,1,0,2,1,0.5,0.0,0.0,2,1,2,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,0,9,1,0,0,0,0,3,0,0,0,1,0,0,0,0,10,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\tech-weekly\2019.04.12 「小马哥技术周报」- 第二十三期《面试虐我千百遍，Java 并发真讨厌（续）》\java-concurrency\src\com\imooc\interview\questions\java\concurrency\collection\ThreadSafeCollectionQuestion.java,com.imooc.interview.questions.java.concurrency.collection.ThreadSafeCollectionQuestion,class,0,0,0,0,1,1,0,7,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,14,0,0,0,0,0,1,16,10,0,3,0,0,0,0,9,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\tech-weekly\2018.09.21「小马哥技术周报」- 第一期《Spring Cloud 服务发现新选择 - Alibaba Nacos Discovery》\代码\zookeeper-client-demo\src\test\java\demo\zookeeperclientdemo\ZookeeperClientDemoApplicationTests.java,demo.zookeeperclientdemo.ZookeeperClientDemoApplicationTests,class,4,4,0,4,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\tech-weekly\2019.04.12 「小马哥技术周报」- 第二十三期《面试虐我千百遍，Java 并发真讨厌（续）》\java-concurrency\src\com\imooc\interview\questions\java\concurrency\barrier\CountDownLatchQuestion.java,com.imooc.interview.questions.java.concurrency.barrier.CountDownLatchQuestion,class,1,2,1,1,3,1,0,10,1,0.0,NaN,NaN,2,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,19,0,1,0,0,0,2,4,3,0,3,2,0,0,1,14,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\tech-weekly\2019.04.12 「小马哥技术周报」- 第二十三期《面试虐我千百遍，Java 并发真讨厌（续）》\java-concurrency\src\com\imooc\interview\questions\java\concurrency\thread\AllThreadStackQuestion.java,com.imooc.interview.questions.java.concurrency.thread.AllThreadStackQuestion,class,1,1,0,1,2,1,0,5,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,10,0,1,0,0,0,0,0,3,0,3,1,0,0,0,13,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\tech-weekly\2018.09.28「小马哥技术周报」- 第二期 《Spring Cloud 分布式配置新选择 - Alibaba Nacos Config》\代码\config-server-demo\src\main\java\demosconfig\configserverdemo\ConfigServerDemoApplication.java,demosconfig.configserverdemo.ConfigServerDemoApplication,class,3,4,1,3,1,1,0,2,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,2,0,0,0,0,0,0,0,0,6,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\tech-weekly\2018.11.30「小马哥技术周报」- 第十期《Spring Cloud Alibaba RPC 实现前哨站 - Apache Dubbo》\dubbo-demo\dubbo-provider-demo\src\main\java\demo\dubbo\spring\boot\provider\DubboProviderBootstrap.java,demo.dubbo.spring.boot.provider.DubboProviderBootstrap,class,4,5,1,4,1,1,0,2,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,3,0,0,0,0,0,0,0,0,25,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\tech-weekly\2018.09.28「小马哥技术周报」- 第二期 《Spring Cloud 分布式配置新选择 - Alibaba Nacos Config》\代码\config-client-demo\src\test\java\demos\configclientdemo\ConfigClientDemoApplicationTests.java,demos.configclientdemo.ConfigClientDemoApplicationTests,class,4,4,0,4,1,1,0,0,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\tech-weekly\2018.09.28「小马哥技术周报」- 第二期 《Spring Cloud 分布式配置新选择 - Alibaba Nacos Config》\代码\config-server-demo\src\main\java\org\springframework\cloud\nacos\config\server\NacosConfigServerAutoConfiguration.java,org.springframework.cloud.nacos.config.server.NacosConfigServerAutoConfiguration,class,7,7,0,7,3,1,0,0,3,0.0,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,11,3,0,0,0,0,1,0,0,0,0,0,0,0,0,14,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\tech-weekly\2019.04.12 「小马哥技术周报」- 第二十三期《面试虐我千百遍，Java 并发真讨厌（续）》\java-concurrency\src\com\imooc\interview\questions\java\concurrency\collection\ArraysAsListMethodQuestion.java,com.imooc.interview.questions.java.concurrency.collection.ArraysAsListMethodQuestion,class,0,0,0,0,1,1,0,3,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,7,1,0,1,0,0,0,0,8,1,0
