file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ticker\ticker\src\main\java\com\robinhood\ticker\TickerView.java,com.robinhood.ticker.TickerView$AnimationHolder,"AnimationHolder/4[java.lang.String,long,long,com.robinhood.ticker.Interpolator]",true,737,1,1,1,0,1,0,6,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,9,2,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ticker\ticker\src\test\java\com\robinhood\ticker\TickerViewTest.java,com.robinhood.ticker.TickerViewTest,test_realignAndClipCanvasForGravity_start/0,false,32,2,1,0,1,1,1,3,0,0,0,1,1,1,0,0,0,0,0,4,0,0,0,0,0,0,9,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ticker\ticker\src\test\java\com\robinhood\ticker\TickerViewTest.java,com.robinhood.ticker.TickerViewTest,test_realignAndClipCanvasForGravity_center/0,false,52,2,1,0,1,1,1,3,0,0,0,1,1,1,0,0,0,0,0,4,0,0,0,0,0,0,9,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ticker\ticker\src\test\java\com\robinhood\ticker\TickerViewTest.java,com.robinhood.ticker.TickerViewTest,test_realignAndClipCanvasForGravity_centerHorizontal/0,false,42,2,1,0,1,1,1,3,0,0,0,1,1,1,0,0,0,0,0,4,0,0,0,0,0,0,10,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ticker\ticker\src\test\java\com\robinhood\ticker\TickerViewTest.java,com.robinhood.ticker.TickerViewTest,test_realignAndClipCanvasForGravity_end/0,false,37,2,1,0,1,1,1,3,0,0,0,1,1,1,0,0,0,0,0,4,0,0,0,0,0,0,9,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ticker\ticker\src\test\java\com\robinhood\ticker\TickerViewTest.java,com.robinhood.ticker.TickerViewTest,test_realignAndClipCanvasForGravity_centerVertical/0,false,47,2,1,0,1,1,1,3,0,0,0,1,1,1,0,0,0,0,0,4,0,0,0,0,0,0,10,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ticker\ticker\src\test\java\com\robinhood\ticker\TickerViewTest.java,com.robinhood.ticker.TickerViewTest,test_realignAndClipCanvasForGravity_bottomEnd/0,false,62,2,1,0,1,1,1,3,0,0,0,1,1,1,0,0,0,0,0,4,0,0,0,0,0,0,10,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ticker\ticker\src\test\java\com\robinhood\ticker\TickerViewTest.java,com.robinhood.ticker.TickerViewTest,setup/0,false,21,1,0,0,0,1,5,7,0,0,0,5,0,0,0,0,0,0,0,2,2,2,0,0,0,0,2,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ticker\ticker\src\test\java\com\robinhood\ticker\TickerViewTest.java,com.robinhood.ticker.TickerViewTest,"testAndCheckGravity/5[int,float,float,float,float]",false,77,1,10,9,1,1,5,6,0,0,5,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,11,2,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\ticker\ticker\src\test\java\com\robinhood\ticker\TickerViewTest.java,com.robinhood.ticker.TickerViewTest,test_realignAndClipCanvasForGravity_centerVerticalEnd/0,false,67,2,1,0,1,1,1,3,0,0,0,1,1,1,0,0,0,0,0,4,0,0,0,0,0,0,11,1,0,false
