file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Projetos\LabExperimentacao\medicao-lab2\repos\titan\titan-core\src\main\java\com\thinkaurelius\titan\diskstorage\util\Hex.java,com.thinkaurelius.titan.diskstorage.util.Hex,hexToBytes/1[java.lang.String],false,33,1,0,0,0,5,2,11,1,4,1,2,0,0,1,3,0,2,2,10,5,7,2,0,0,0,20,9,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\titan\titan-core\src\main\java\com\thinkaurelius\titan\diskstorage\util\Hex.java,com.thinkaurelius.titan.diskstorage.util.Hex,(initializer 1),false,16,0,18,0,18,9,2,11,0,2,0,2,0,0,2,0,0,3,0,7,7,5,4,0,0,0,2,8,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\titan\titan-core\src\main\java\com\thinkaurelius\titan\diskstorage\util\Hex.java,com.thinkaurelius.titan.diskstorage.util.Hex,bytesToHex/1[byte[]],false,48,3,1,0,1,2,1,9,1,3,1,1,1,1,1,0,0,1,0,8,5,5,1,0,0,0,10,9,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\titan\titan-core\src\main\java\com\thinkaurelius\titan\diskstorage\util\Hex.java,com.thinkaurelius.titan.diskstorage.util.Hex,wrapCharArray/1[char[]],false,62,1,2,2,0,5,1,12,2,1,1,1,0,0,0,3,1,0,0,1,2,0,2,0,0,0,24,9,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\titan\titan-core\src\main\java\com\thinkaurelius\titan\diskstorage\util\Hex.java,com.thinkaurelius.titan.diskstorage.util.Hex,"getProtectedConstructor/2[java.lang.Class,java.lang.Class[]]",false,86,0,0,0,0,2,2,11,2,1,2,2,0,0,0,0,1,0,0,0,1,0,1,0,0,0,24,9,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\titan\titan-core\src\main\java\com\thinkaurelius\titan\graphdb\olap\computer\FulgoraGraphComputer.java,com.thinkaurelius.titan.graphdb.olap.computer.FulgoraGraphComputer$Anonymous1,"apply/1[java.util.Map<java.lang.String,java.lang.Object>]",false,271,1,0,0,0,1,2,3,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\titan\titan-hadoop-parent\titan-hadoop-core\src\main\java\com\thinkaurelius\titan\hadoop\compat\HadoopCompat.java,com.thinkaurelius.titan.hadoop.compat.HadoopCompat,getJobContextConfiguration/1[com.thinkaurelius.titan.hadoop.compat.JobContext],false,84,2,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\titan\titan-hadoop-parent\titan-hadoop-core\src\main\java\com\thinkaurelius\titan\hadoop\compat\HadoopCompat.java,com.thinkaurelius.titan.hadoop.compat.HadoopCompat,"incrementContextCounter/4[com.thinkaurelius.titan.hadoop.compat.TaskInputOutputContext,java.lang.String,java.lang.String,long]",false,56,1,2,2,0,1,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,1,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\titan\titan-hadoop-parent\titan-hadoop-core\src\main\java\com\thinkaurelius\titan\hadoop\compat\HadoopCompat.java,com.thinkaurelius.titan.hadoop.compat.HadoopCompat,newMapredJarConfigurer/1[java.lang.String],false,92,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,1,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\titan\titan-hadoop-parent\titan-hadoop-core\src\main\java\com\thinkaurelius\titan\hadoop\compat\HadoopCompat.java,com.thinkaurelius.titan.hadoop.compat.HadoopCompat,getJobFailureString/1[com.thinkaurelius.titan.hadoop.compat.Job],false,123,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,false
