file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Projetos\LabExperimentacao\medicao-lab2\repos\typedb\encoding\iid\VertexIID.java,com.vaticle.typedb.core.encoding.iid.VertexIID$Attribute$DateTime,innerclass,4,4,0,4,5,6,0,4,10,0.0,0.0,0.0,5,1,4,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,17,3,0,0,0,0,0,0,0,1,0,0,0,0,0,31,9,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\typedb\traversal\planner\PlannerEdge.java,com.vaticle.typedb.core.traversal.planner.PlannerEdge$Native$Thing$Has,innerclass,6,6,0,6,2,19,0,1,1,0.0,0.0,0.0,2,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,2,0,0,0,0,3,0,10,8,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\typedb\traversal\Traversal.java,com.vaticle.typedb.core.traversal.Traversal$Parameters,innerclass,7,7,0,7,23,1,0,17,0,0.55,0.0,0.0,10,0,10,0,0,0,10,0,0,0,4,0,0,4,0,0,4,0,3,200,9,0,9,0,0,4,2,8,0,9,2,0,1,1,39,9,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\typedb\encoding\Encoding.java,com.vaticle.typedb.core.encoding.Encoding$PrefixType,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\typedb\graph\edge\impl\TypeEdgeImpl.java,com.vaticle.typedb.core.graph.edge.impl.TypeEdgeImpl$View$Forward,innerclass,7,7,0,7,4,2,0,4,3,0.0,0.0,0.0,3,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,12,2,0,1,0,0,0,0,1,0,0,1,0,0,0,11,10,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\typedb\traversal\procedure\ProcedureEdge.java,com.vaticle.typedb.core.traversal.procedure.ProcedureEdge$Native$Type$Owns$Forward,innerclass,13,13,0,13,7,6,0,9,15,0.0,0.0,0.0,6,0,4,1,0,1,5,0,0,0,0,0,0,0,0,0,0,0,1,22,5,0,0,0,0,0,0,0,0,0,0,0,0,0,24,8,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\typedb\database\RocksIterator.java,com.vaticle.typedb.core.database.RocksIterator$Ascending,innerclass,11,11,0,11,15,3,0,14,6,0.0,0.0,0.0,4,0,1,0,0,3,4,0,0,3,0,0,0,0,0,0,0,0,1,39,7,0,7,0,0,0,0,2,0,0,3,0,0,0,34,8,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\typedb\test\assembly\AssemblyTest.java,com.vaticle.typedb.core.test.assembly.AssemblyTest,class,3,3,0,3,3,1,0,7,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,23,0,0,1,2,0,5,1,4,0,4,1,0,0,0,17,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\typedb\test\integration\logic\resolvable\UnifyRelationConcludableTest.java,com.vaticle.typedb.core.logic.resolvable.UnifyRelationConcludableTest,class,46,47,1,46,56,1,0,179,558,0.8813131,0.0,0.0,44,2,31,11,0,2,33,0,0,0,9,9,0,9,0,0,4,0,139,772,17,1,4,4,0,341,126,218,6,235,5,39,0,25,217,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\typedb\reasoner\common\Tracer.java,com.vaticle.typedb.core.reasoner.common.Tracer$EdgeType,enum,0,0,0,0,2,1,0,0,0,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,1,0,0,1,0,0,1,0,0,8,1,0,0,0,0,12,0,1,0,1,0,0,0,0,25,0,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\typedb\reasoner\ExplainablesManager.java,com.vaticle.typedb.core.reasoner.ExplainablesManager,class,6,12,6,6,4,1,0,14,0,0.33333334,0.0,0.0,4,0,0,0,0,4,4,0,0,0,3,0,0,3,0,0,3,0,2,28,2,0,0,0,0,0,1,5,1,6,1,0,0,1,28,0,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\typedb\test\benchmark\BenchmarkBig.java,com.vaticle.typedb.core.reasoner.benchmark.BenchmarkBig,class,24,25,1,24,20,1,0,77,64,0.83076924,0.0,0.0,13,0,5,8,0,0,5,0,0,0,5,3,0,5,0,0,3,0,19,196,2,6,1,17,1,101,24,84,29,85,3,3,0,2,167,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\typedb\traversal\planner\PlannerEdge.java,com.vaticle.typedb.core.traversal.planner.PlannerEdge$Native$Thing$Relating$Backward,innerclass,3,3,0,3,2,6,0,0,1,0.0,NaN,NaN,2,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,1,0,0,0,0,0,0,9,10,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\typedb\database\Factory.java,com.vaticle.typedb.core.database.Factory$Database,interface,2,2,0,2,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\typedb\logic\Rule.java,com.vaticle.typedb.core.logic.Rule$Conclusion$Has$Explicit,innerclass,32,32,0,32,22,4,0,65,98,0.67647064,0.0,0.0,17,1,13,2,0,2,15,0,0,0,2,0,0,2,0,0,2,0,5,135,13,0,4,0,0,0,2,17,0,22,1,0,1,5,47,9,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\typedb\test\behaviour\connection\transaction\TransactionTest.java,com.vaticle.typedb.core.test.behaviour.connection.transaction.TransactionTest,class,3,3,0,3,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,9,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\typedb\concept\thing\impl\AttributeImpl.java,com.vaticle.typedb.core.concept.thing.impl.AttributeImpl$String,innerclass,6,6,0,6,4,4,0,4,6,0.0,0.0,0.0,4,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,15,3,0,0,0,0,0,0,0,0,0,0,0,0,0,14,9,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\typedb\common\iterator\sorted\SortedIterator.java,com.vaticle.typedb.core.common.iterator.sorted.SortedIterator$Forwardable,interface,8,8,0,8,15,1,0,10,55,0.0,0.0,0.0,11,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,3,21,2,0,0,0,0,0,0,2,0,1,1,0,0,0,35,0,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\typedb\traversal\common\Identifier.java,com.vaticle.typedb.core.traversal.common.Identifier$Scoped,innerclass,4,4,0,4,12,2,0,5,6,0.525,0.0,0.0,8,1,7,1,0,0,7,0,0,0,5,0,0,5,0,0,5,0,3,38,9,0,4,0,0,1,0,6,0,6,2,0,0,0,25,9,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\typedb\reasoner\Reasoner.java,com.vaticle.typedb.core.reasoner.Reasoner,class,46,57,11,46,63,1,0,158,216,0.84027785,0.0,0.0,24,0,8,16,0,0,8,0,0,0,6,0,0,6,0,0,6,0,33,199,30,4,2,0,0,0,9,45,1,60,3,0,0,25,120,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\typedb\concept\type\impl\TypeImpl.java,com.vaticle.typedb.core.concept.type.impl.TypeImpl,class,33,58,25,33,40,2,2,52,78,0.5689655,0.0,0.0,29,1,20,1,0,8,28,2,1,0,2,0,1,0,1,0,2,0,13,127,17,1,4,1,2,2,0,11,1,8,2,0,0,1,83,1025,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\typedb\server\concept\TypeService.java,com.vaticle.typedb.core.server.concept.TypeService,class,40,43,3,40,119,1,0,226,0,0.52,0.0,0.0,50,1,2,48,0,0,2,0,0,0,2,0,0,2,0,0,2,0,58,394,47,0,6,0,0,1,0,30,0,42,1,0,0,20,95,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\typedb\encoding\key\KeyGenerator.java,com.vaticle.typedb.core.encoding.key.KeyGenerator$Schema,innerclass,8,8,0,8,12,3,0,26,0,0.4333333,0.0,0.0,5,0,4,0,0,1,5,0,0,0,6,2,0,2,4,0,6,0,10,91,3,2,1,0,2,0,11,23,7,20,1,0,2,1,52,1033,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\typedb\test\integration\reasoner\controller\ControllerTest.java,com.vaticle.typedb.core.reasoner.controller.ControllerTest$AnswerProducer,innerclass,5,5,0,5,10,1,0,9,6,0.65,0.0,0.0,8,0,4,4,0,0,4,0,0,0,5,0,0,5,0,0,3,0,0,38,1,0,1,0,0,0,0,6,0,6,1,0,0,1,31,10,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\typedb\test\behaviour\reasoner\verification\ForwardChainingMaterialiser.java,com.vaticle.typedb.core.test.behaviour.reasoner.verification.ForwardChainingMaterialiser$Rule,innerclass,25,25,0,25,13,1,0,59,8,0.65,-1.0,-1.0,8,0,0,8,0,0,0,0,0,0,5,0,0,5,0,0,2,0,14,63,6,0,3,0,0,0,1,12,0,27,2,0,0,18,41,2,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\typedb\common\iterator\sorted\MappedSortedIterator.java,com.vaticle.typedb.core.common.iterator.sorted.MappedSortedIterator$State,enum,0,0,0,0,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\typedb\server\common\ResponseBuilder.java,com.vaticle.typedb.core.server.common.ResponseBuilder$Type$RoleType,innerclass,2,2,0,2,7,1,0,18,21,0.0,0.0,0.0,7,7,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,14,23,7,0,0,0,0,0,0,0,0,0,0,0,0,0,19,9,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\typedb\graph\edge\TypeEdge.java,com.vaticle.typedb.core.graph.edge.TypeEdge$View,interface,4,4,0,4,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\typedb\graph\vertex\impl\ThingVertexImpl.java,com.vaticle.typedb.core.graph.vertex.impl.ThingVertexImpl$Read,innerclass,13,13,0,13,9,3,0,8,24,0.75,0.0,0.0,8,1,8,0,0,0,8,0,0,0,2,0,0,0,2,0,2,0,2,35,7,0,0,0,0,0,0,2,0,2,1,0,0,0,26,9,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\typedb\test\behaviour\config\Parameters.java,com.vaticle.typedb.core.test.behaviour.config.Parameters$RootLabel,enum,1,1,0,1,5,1,0,2,0,0.0,0.0,0.0,3,1,2,0,0,1,3,0,0,0,1,0,0,1,0,0,1,0,1,16,3,1,0,0,0,3,0,1,0,1,2,0,0,0,18,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\typedb\test\behaviour\reasoner\tests\schema_queries\SchemaQueriesTest.java,com.vaticle.typedb.core.test.behaviour.reasoner.tests.schema_queries.SchemaQueriesTest,class,3,3,0,3,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,12,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\typedb\traversal\planner\PlannerEdge.java,com.vaticle.typedb.core.traversal.planner.PlannerEdge$Directional,innerclass,20,20,0,20,38,2,0,47,193,0.8795987,0.0,0.0,23,0,13,3,3,4,20,1,0,0,13,1,0,7,0,6,6,0,11,137,12,5,4,0,0,14,25,27,16,31,3,0,0,6,95,1033,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\typedb\test\behaviour\typeql\language\define\DefineTest.java,com.vaticle.typedb.core.test.behaviour.typeql.language.define.DefineTest,class,3,3,0,3,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,10,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\typedb\graph\adjacency\TypeAdjacency.java,com.vaticle.typedb.core.graph.adjacency.TypeAdjacency$In,interface,3,3,0,3,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\typedb\concept\type\impl\ThingTypeImpl.java,com.vaticle.typedb.core.concept.type.impl.ThingTypeImpl,class,37,54,17,37,118,6,5,164,1431,0.0,0.0,0.0,54,1,33,11,4,6,43,2,0,0,0,0,0,0,0,0,0,0,60,444,44,0,20,0,16,0,2,28,0,77,4,0,1,54,122,1025,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\typedb\traversal\procedure\ProcedureEdge.java,com.vaticle.typedb.core.traversal.procedure.ProcedureEdge$Equal,innerclass,14,14,0,14,11,3,0,17,6,0.0,0.0,0.0,4,0,3,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,4,26,6,0,2,0,0,0,0,1,0,1,2,0,0,0,34,9,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\typedb\test\behaviour\reasoner\tests\attribute_attachment\AttributeAttachmentTest.java,com.vaticle.typedb.core.test.behaviour.reasoner.tests.attribute_attachment.AttributeAttachmentTest,class,3,3,0,3,0,1,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,12,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\typedb\reasoner\planner\ConjunctionGraph.java,com.vaticle.typedb.core.reasoner.planner.ConjunctionGraph,class,15,23,8,15,10,1,0,49,0,0.33333334,0.0,0.0,6,0,3,3,0,0,3,0,0,0,2,0,0,2,0,0,2,0,11,161,4,1,1,0,0,0,0,11,0,22,2,0,2,12,35,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\typedb\reasoner\ReasonerProducer.java,com.vaticle.typedb.core.reasoner.ReasonerProducer$Explain,innerclass,10,10,0,10,5,2,0,9,1,0.33333334,0.0,0.0,3,0,1,0,0,2,3,0,0,2,2,0,0,2,0,0,2,0,0,20,0,0,0,0,0,0,1,3,0,2,1,0,0,0,25,9,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\typedb\test\behaviour\reasoner\verification\ForwardChainingMaterialiser.java,com.vaticle.typedb.core.test.behaviour.reasoner.verification.ForwardChainingMaterialiser,class,22,28,6,22,25,1,0,49,47,0.71428573,0.0,0.0,14,1,2,9,0,3,5,0,0,0,4,0,0,4,0,0,3,0,6,219,9,4,1,0,0,0,0,13,0,16,3,0,3,6,61,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\typedb\traversal\procedure\ProcedureEdge.java,com.vaticle.typedb.core.traversal.procedure.ProcedureEdge$Native$Isa$Forward,innerclass,12,12,0,12,4,5,0,10,6,0.0,0.0,0.0,4,0,3,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,17,3,0,0,0,0,0,0,1,0,1,0,0,0,0,15,8,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\typedb\reasoner\planner\AnswerCountEstimator.java,com.vaticle.typedb.core.reasoner.planner.AnswerCountEstimator$LocalModel$StaticModel,innerclass,2,2,0,2,2,2,0,0,0,0.0,NaN,NaN,2,0,0,1,0,1,1,0,0,0,1,0,0,1,0,0,1,0,0,10,1,0,0,0,0,0,0,1,0,1,0,0,0,0,10,1034,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\typedb\reasoner\processor\InputPort.java,com.vaticle.typedb.core.reasoner.processor.InputPort,class,15,22,7,15,16,1,0,26,10,0.6923078,0.0,0.0,13,0,11,0,0,2,13,0,0,0,7,0,0,7,0,0,3,0,0,61,7,0,2,0,0,1,0,8,1,11,1,0,0,4,46,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\typedb\server\test\parameters\CoreConfigTest.java,com.vaticle.typedb.core.server.parameters.CoreConfigTest,class,20,20,0,20,16,1,0,50,45,0.0,0.0,0.0,10,0,10,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,18,129,0,0,0,6,0,60,13,12,10,12,1,0,0,0,66,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\typedb\server\parameters\CoreConfigParser.java,com.vaticle.typedb.core.server.parameters.CoreConfigParser$Storage,innerclass,10,10,0,10,3,5,0,14,0,0.5,0.0,0.0,2,0,2,0,0,0,2,0,0,0,5,5,2,1,2,0,5,0,5,34,2,0,0,0,0,4,0,5,0,5,1,0,1,0,31,12,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\typedb\traversal\planner\PlannerEdge.java,com.vaticle.typedb.core.traversal.planner.PlannerEdge$Native$Isa$Forward,innerclass,8,8,0,8,3,5,0,6,1,0.0,NaN,NaN,2,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,0,1,2,0,0,1,0,0,0,12,2,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\typedb\encoding\key\KeyGenerator.java,com.vaticle.typedb.core.encoding.key.KeyGenerator$Data$Persisted,innerclass,13,13,0,13,6,2,0,15,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,17,0,2,1,0,0,0,2,5,1,5,2,0,0,0,22,9,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\typedb\graph\edge\impl\TypeEdgeImpl.java,com.vaticle.typedb.core.graph.edge.impl.TypeEdgeImpl$View,innerclass,8,8,0,8,7,3,0,3,0,0.5,0.0,0.0,4,0,3,1,0,0,3,0,0,0,2,0,0,0,0,2,1,0,0,42,5,0,3,0,1,0,0,2,0,2,1,0,2,0,15,1034,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\typedb\graph\edge\impl\TypeEdgeImpl.java,com.vaticle.typedb.core.graph.edge.impl.TypeEdgeImpl$Target,innerclass,8,8,0,8,13,2,0,7,44,0.61538464,0.0,0.0,13,0,9,0,0,4,13,0,0,0,2,0,0,2,0,0,2,0,7,45,8,0,0,0,0,0,0,2,0,2,0,0,0,0,29,9,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\typedb\reasoner\controller\ConclusionController.java,com.vaticle.typedb.core.reasoner.controller.ConclusionController,class,18,24,6,18,6,12,0,15,0,0.33333334,0.0,0.0,3,0,2,1,0,0,2,0,0,0,3,0,0,2,0,1,2,0,1,204,1,0,0,0,0,2,0,3,1,5,1,0,4,3,27,1025,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\typedb\reasoner\processor\reactive\Monitor.java,com.vaticle.typedb.core.reasoner.processor.reactive.Monitor$RootNode,innerclass,8,8,0,8,20,3,0,19,44,0.77777773,0.0,0.0,12,0,2,3,3,4,9,0,0,0,6,0,0,6,0,0,3,0,0,69,4,0,2,0,0,0,8,10,0,10,3,0,0,3,39,2,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\typedb\server\parameters\CoreConfig.java,com.vaticle.typedb.core.server.parameters.CoreConfig$VaticleFactory,innerclass,1,1,0,1,5,1,0,1,2,0.6,0.0,0.0,5,0,4,0,0,1,5,0,0,0,4,0,0,4,0,0,4,0,3,24,4,0,0,0,0,0,0,4,0,4,0,0,0,0,19,9,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\typedb\graph\adjacency\impl\TypeAdjacencyImpl.java,com.vaticle.typedb.core.graph.adjacency.impl.TypeAdjacencyImpl$Buffered$Out,innerclass,10,10,0,10,6,3,0,13,6,0.0,0.0,0.0,4,0,3,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,2,19,5,0,1,0,0,0,0,1,0,2,1,0,0,1,18,9,0
