file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Projetos\LabExperimentacao\medicao-lab2\repos\uid-generator\src\main\java\com\baidu\fsg\uid\BitsAllocator.java,com.baidu.fsg.uid.BitsAllocator,class,0,2,2,0,13,1,0,2,42,0.825,0.0,0.0,12,0,12,0,0,0,12,0,0,0,10,1,1,9,0,0,9,0,0,57,11,0,1,0,5,1,6,11,8,11,0,0,0,0,63,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\uid-generator\src\main\java\com\baidu\fsg\uid\utils\DateUtils.java,com.baidu.fsg.uid.utils.DateUtils,class,2,4,2,2,9,2,0,6,17,0.8571429,0.0,0.0,7,7,7,0,0,0,7,0,0,0,4,4,4,0,0,0,4,0,6,38,8,0,1,1,0,4,0,5,0,5,1,0,0,0,54,1025,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\uid-generator\src\main\java\com\baidu\fsg\uid\worker\WorkerIdAssigner.java,com.baidu.fsg.uid.worker.WorkerIdAssigner,interface,0,2,2,0,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\uid-generator\src\main\java\com\baidu\fsg\uid\buffer\RejectedTakeBufferHandler.java,com.baidu.fsg.uid.buffer.RejectedTakeBufferHandler,interface,1,3,2,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\uid-generator\src\main\java\com\baidu\fsg\uid\buffer\RingBuffer.java,com.baidu.fsg.uid.buffer.RingBuffer,class,7,12,5,7,28,1,0,18,41,0.81333345,0.0,0.0,15,0,11,1,3,0,14,0,0,1,15,5,1,14,0,0,12,0,1,106,10,1,7,0,2,14,15,31,10,28,1,0,0,1,200,1,3
C:\Projetos\LabExperimentacao\medicao-lab2\repos\uid-generator\src\main\java\com\baidu\fsg\uid\worker\dao\WorkerNodeDAO.java,com.baidu.fsg.uid.worker.dao.WorkerNodeDAO,interface,3,4,1,3,2,1,0,0,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,26,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\uid-generator\src\main\java\com\baidu\fsg\uid\utils\ValuedEnum.java,com.baidu.fsg.uid.utils.ValuedEnum,interface,1,3,2,1,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\uid-generator\src\main\java\com\baidu\fsg\uid\utils\NetUtils.java,com.baidu.fsg.uid.utils.NetUtils,class,1,3,2,1,10,1,0,12,1,0.5,0.0,0.0,2,2,2,0,0,0,3,0,0,0,1,1,1,0,0,0,0,0,2,32,2,2,0,1,0,2,0,5,0,5,3,0,0,0,36,1025,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\uid-generator\src\test\java\com\baidu\fsg\uid\DefaultUidGeneratorTest.java,com.baidu.fsg.uid.DefaultUidGeneratorTest,class,7,8,1,7,13,1,0,22,0,0.65,0.0,0.0,5,0,2,3,0,0,2,0,0,0,4,3,0,4,0,0,3,0,2,52,1,4,2,0,1,4,7,13,4,15,2,0,0,2,61,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\uid-generator\src\main\java\com\baidu\fsg\uid\worker\WorkerNodeType.java,com.baidu.fsg.uid.worker.WorkerNodeType,enum,1,2,1,1,2,1,0,0,0,0.0,NaN,NaN,2,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,9,1,0,0,0,0,0,2,1,0,1,0,0,0,0,28,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\uid-generator\src\main\java\com\baidu\fsg\uid\worker\DisposableWorkerIdAssigner.java,com.baidu.fsg.uid.worker.DisposableWorkerIdAssigner,class,10,11,1,10,3,1,0,15,1,0.5,NaN,NaN,2,0,1,1,0,0,1,0,0,0,2,1,0,2,0,0,1,0,5,24,2,0,0,0,0,2,1,3,2,4,1,0,0,0,56,1,1
C:\Projetos\LabExperimentacao\medicao-lab2\repos\uid-generator\src\main\java\com\baidu\fsg\uid\worker\entity\WorkerNodeEntity.java,com.baidu.fsg.uid.worker.entity.WorkerNodeEntity,class,0,2,2,0,15,1,0,1,91,0.86666673,0.0,0.0,15,0,15,0,0,0,15,0,0,0,7,0,0,7,0,0,0,0,0,54,8,0,0,0,0,0,0,8,0,7,0,0,0,0,48,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\uid-generator\src\main\java\com\baidu\fsg\uid\utils\NamingThreadFactory.java,com.baidu.fsg.uid.utils.NamingThreadFactory$Anonymous1,anonymous,0,0,0,0,1,1,0,3,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,1,0,0,0,0,0,7,-1,1
