file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Projetos\LabExperimentacao\medicao-lab2\repos\usb-serial-for-android\usbSerialForAndroid\src\main\java\com\hoho\android\usbserial\driver\Ch34xSerialDriver.java,com.hoho.android.usbserial.driver.Ch34xSerialDriver$Ch340SerialPort,setBreak/1[boolean],false,358,2,2,0,2,4,2,18,0,2,1,2,2,1,0,0,0,2,2,21,6,1,1,0,0,0,20,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\usb-serial-for-android\usbSerialForAndroid\src\main\java\com\hoho\android\usbserial\driver\Ch34xSerialDriver.java,com.hoho.android.usbserial.driver.Ch34xSerialDriver$Ch340SerialPort,getCD/0,false,298,1,1,0,1,2,1,3,1,0,0,1,1,2,0,1,0,1,0,1,0,0,0,0,0,0,10,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\usb-serial-for-android\usbSerialForAndroid\src\main\java\com\hoho\android\usbserial\driver\Ch34xSerialDriver.java,com.hoho.android.usbserial.driver.Ch34xSerialDriver$Ch340SerialPort,initialize/0,false,166,2,5,1,4,6,4,18,0,0,0,4,4,4,0,0,0,0,7,27,0,0,1,0,0,0,27,2,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\usb-serial-for-android\usbSerialForAndroid\src\main\java\com\hoho\android\usbserial\driver\Ch34xSerialDriver.java,com.hoho.android.usbserial.driver.Ch34xSerialDriver$Ch340SerialPort,getSupportedControlLines/0,false,353,1,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\usb-serial-for-android\usbSerialForAndroid\src\main\java\com\hoho\android\usbserial\driver\Ch34xSerialDriver.java,com.hoho.android.usbserial.driver.Ch34xSerialDriver$Ch340SerialPort,"Ch340SerialPort/2[com.hoho.android.usbserial.driver.UsbDevice,int]",true,72,1,1,1,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\usb-serial-for-android\usbSerialForAndroid\src\main\java\com\hoho\android\usbserial\driver\Ch34xSerialDriver.java,com.hoho.android.usbserial.driver.Ch34xSerialDriver$Ch340SerialPort,getRTS/0,false,329,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\usb-serial-for-android\usbSerialForAndroid\src\main\java\com\hoho\android\usbserial\driver\Ch34xSerialDriver.java,com.hoho.android.usbserial.driver.Ch34xSerialDriver$Ch340SerialPort,"controlIn/4[int,int,int,byte[]]",false,121,1,3,3,0,1,1,4,1,1,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17,2,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\usb-serial-for-android\usbSerialForAndroid\src\main\java\com\hoho\android\usbserial\driver\Ch34xSerialDriver.java,com.hoho.android.usbserial.driver.Ch34xSerialDriver$Ch340SerialPort,setControlLines/0,false,152,1,4,3,1,5,1,5,0,0,0,1,1,1,0,0,0,3,1,5,0,0,1,0,0,0,18,2,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\usb-serial-for-android\usbSerialForAndroid\src\main\java\com\hoho\android\usbserial\driver\Ch34xSerialDriver.java,com.hoho.android.usbserial.driver.Ch34xSerialDriver$Ch340SerialPort,getDTR/0,false,313,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\usb-serial-for-android\usbSerialForAndroid\src\main\java\com\hoho\android\usbserial\driver\Ch34xSerialDriver.java,com.hoho.android.usbserial.driver.Ch34xSerialDriver$Ch340SerialPort,"setParameters/4[int,int,int,int]",false,235,2,2,0,2,15,2,56,0,2,4,2,2,2,0,0,0,0,6,4,11,4,1,0,0,0,41,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\usb-serial-for-android\usbSerialForAndroid\src\main\java\com\hoho\android\usbserial\driver\Ch34xSerialDriver.java,com.hoho.android.usbserial.driver.Ch34xSerialDriver$Ch340SerialPort,setDTR/1[boolean],false,318,1,1,0,1,1,1,4,0,0,1,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,11,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\usb-serial-for-android\usbSerialForAndroid\src\main\java\com\hoho\android\usbserial\driver\Ch34xSerialDriver.java,com.hoho.android.usbserial.driver.Ch34xSerialDriver$Ch340SerialPort,getCTS/0,false,303,1,1,0,1,2,1,3,1,0,0,1,1,2,0,1,0,1,0,1,0,0,0,0,0,0,11,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\usb-serial-for-android\usbSerialForAndroid\src\main\java\com\hoho\android\usbserial\driver\Ch34xSerialDriver.java,com.hoho.android.usbserial.driver.Ch34xSerialDriver$Ch340SerialPort,setRTS/1[boolean],false,334,1,1,0,1,1,1,4,0,0,1,1,1,2,0,0,0,0,0,0,1,0,0,0,0,0,11,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\usb-serial-for-android\usbSerialForAndroid\src\main\java\com\hoho\android\usbserial\driver\Ch34xSerialDriver.java,com.hoho.android.usbserial.driver.Ch34xSerialDriver$Ch340SerialPort,openInt/0,false,82,3,2,0,2,6,9,22,0,5,0,9,2,5,2,2,0,0,1,3,7,1,3,0,0,0,32,4,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\usb-serial-for-android\usbSerialForAndroid\src\main\java\com\hoho\android\usbserial\driver\Ch34xSerialDriver.java,com.hoho.android.usbserial.driver.Ch34xSerialDriver$Ch340SerialPort,setBaudRate/1[int],false,195,2,5,3,2,10,3,35,0,7,1,3,1,1,1,2,0,8,4,25,14,6,2,0,0,0,40,2,0,false
