file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Projetos\LabExperimentacao\medicao-lab2\repos\vertx-examples\rxjava-3-examples\src\main\java\io\vertx\example\rxjava3\web\client\unmarshalling\Client.java,io.vertx.example.rxjava3.web.client.unmarshalling.Client,main/1[java.lang.String[]],false,16,2,1,0,1,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\vertx-examples\rxjava-3-examples\src\main\java\io\vertx\example\rxjava3\web\client\unmarshalling\Client.java,io.vertx.example.rxjava3.web.client.unmarshalling.Client,start/0,false,28,4,0,0,0,1,8,7,0,5,0,8,0,0,0,0,0,0,5,1,2,3,0,0,0,3,9,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\vertx-examples\sql-client-examples\src\main\java\io\vertx\example\sqlclient\transaction\SqlClientExample.java,io.vertx.example.sqlclient.transaction.SqlClientExample,start/0,false,47,2,0,0,0,2,10,18,3,5,0,10,0,0,1,0,0,0,4,1,1,1,2,0,0,4,19,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\vertx-examples\sql-client-examples\src\main\java\io\vertx\example\sqlclient\transaction\SqlClientExample.java,io.vertx.example.sqlclient.transaction.SqlClientExample,main/1[java.lang.String[]],false,18,4,1,0,1,1,13,7,0,3,1,13,0,0,0,0,0,0,0,1,3,0,0,0,0,0,12,9,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\vertx-examples\sql-client-examples\src\main\java\io\vertx\example\sqlclient\transaction\SqlClientExample.java,io.vertx.example.sqlclient.transaction.SqlClientExample,SqlClientExample/1[io.vertx.example.sqlclient.transaction.SqlConnectOptions],true,42,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\vertx-examples\camel-bridge-examples\src\main\java\io\vertx\example\camel\feed\FeedExample.java,io.vertx.example.camel.feed.FeedExample$Anonymous1,configure/0,false,58,0,0,0,0,1,8,5,0,0,0,8,0,0,0,0,0,0,9,0,0,1,0,0,0,0,22,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\vertx-examples\jpms-examples\src\main\java\io\vertx\example\jpms\sqlclient\Client.java,io.vertx.example.jpms.sqlclient.Client,main/1[java.lang.String[]],false,13,2,1,0,1,1,3,4,0,1,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,9,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\vertx-examples\jpms-examples\src\main\java\io\vertx\example\jpms\sqlclient\Client.java,io.vertx.example.jpms.sqlclient.Client,start/0,false,20,2,0,0,0,1,12,10,0,6,0,12,0,0,0,0,0,0,8,1,1,0,2,0,0,5,22,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\vertx-examples\rxjava-2-examples\src\main\java\io\vertx\example\reactivex\eventbus\pingpong\PingPong.java,io.vertx.example.reactivex.eventbus.pingpong.PingPong,start/0,false,17,1,0,0,0,1,9,15,0,4,0,9,0,0,0,0,0,0,4,1,1,2,2,0,0,3,12,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\vertx-examples\rxjava-2-examples\src\main\java\io\vertx\example\reactivex\eventbus\pingpong\PingPong.java,io.vertx.example.reactivex.eventbus.pingpong.PingPong,main/1[java.lang.String[]],false,12,1,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\vertx-examples\web-examples\src\main\java\io\vertx\example\web\proxy\Server.java,io.vertx.example.web.proxy.Server,main/1[java.lang.String[]],false,20,2,1,0,1,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\vertx-examples\web-examples\src\main\java\io\vertx\example\web\proxy\Server.java,io.vertx.example.web.proxy.Server,start/1[io.vertx.example.web.proxy.Promise<java.lang.Void>],false,25,5,1,0,1,1,18,17,0,6,1,18,0,0,0,0,0,0,8,3,3,0,2,0,0,3,17,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\vertx-examples\rxjava-2-examples\src\main\java\io\vertx\example\reactivex\eventbus\pubsub\Receiver.java,io.vertx.example.reactivex.eventbus.pubsub.Receiver,main/1[java.lang.String[]],false,13,1,0,0,0,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\vertx-examples\rxjava-2-examples\src\main\java\io\vertx\example\reactivex\eventbus\pubsub\Receiver.java,io.vertx.example.reactivex.eventbus.pubsub.Receiver,start/0,false,19,1,0,0,0,1,7,5,0,2,0,7,0,0,0,0,0,0,3,0,1,1,0,0,0,1,6,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\vertx-examples\rxjava-2-examples\src\main\java\io\vertx\example\reactivex\database\mongo\Client.java,io.vertx.example.reactivex.database.mongo.Client,insertAndFind/0,false,34,2,1,1,0,1,14,18,1,6,0,14,0,0,0,0,0,0,19,0,1,2,1,0,0,5,10,2,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\vertx-examples\rxjava-2-examples\src\main\java\io\vertx\example\reactivex\database\mongo\Client.java,io.vertx.example.reactivex.database.mongo.Client,main/1[java.lang.String[]],false,17,2,1,0,1,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\vertx-examples\rxjava-2-examples\src\main\java\io\vertx\example\reactivex\database\mongo\Client.java,io.vertx.example.reactivex.database.mongo.Client,start/0,false,22,2,1,0,1,1,3,5,0,1,0,3,1,1,0,0,0,0,4,0,2,0,0,0,0,0,9,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\vertx-examples\rxjava-2-examples\src\main\java\io\vertx\example\reactivex\net\greeter\Server.java,io.vertx.example.reactivex.net.greeter.Server,main/1[java.lang.String[]],false,30,2,1,0,1,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\vertx-examples\rxjava-2-examples\src\main\java\io\vertx\example\reactivex\net\greeter\Server.java,io.vertx.example.reactivex.net.greeter.Server,start/0,false,35,1,0,0,0,1,12,12,0,6,0,12,0,0,0,0,0,0,6,1,1,2,2,0,0,5,12,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\vertx-examples\core-examples\src\main\java\io\vertx\example\core\http2\h2c\Client.java,io.vertx.example.core.http2.h2c.Client,main/1[java.lang.String[]],false,16,2,1,0,1,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\vertx-examples\core-examples\src\main\java\io\vertx\example\core\http2\h2c\Client.java,io.vertx.example.core.http2.h2c.Client,start/0,false,21,2,0,0,0,1,11,12,1,5,0,11,0,0,0,0,0,0,5,1,2,2,1,0,0,3,12,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\vertx-examples\rxjava-3-examples\src\main\java\io\vertx\example\rxjava3\http\client\zip\Server.java,io.vertx.example.rxjava3.http.client.zip.Server,main/1[java.lang.String[]],false,14,2,1,0,1,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\vertx-examples\rxjava-3-examples\src\main\java\io\vertx\example\rxjava3\http\client\zip\Server.java,io.vertx.example.rxjava3.http.client.zip.Server,start/0,false,19,2,0,0,0,1,11,8,0,2,0,11,0,0,0,0,0,0,3,1,1,0,1,0,0,1,8,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\vertx-examples\rxjava-2-examples\src\main\java\io\vertx\example\reactivex\web\client\simple\Server.java,io.vertx.example.reactivex.web.client.simple.Server,main/1[java.lang.String[]],false,13,2,1,0,1,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\vertx-examples\rxjava-2-examples\src\main\java\io\vertx\example\reactivex\web\client\simple\Server.java,io.vertx.example.reactivex.web.client.simple.Server,start/0,false,18,1,0,0,0,1,8,8,0,2,0,8,0,0,0,0,0,0,3,1,1,0,1,0,0,1,11,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\vertx-examples\core-examples\src\main\java\io\vertx\example\core\http\sharing\Server.java,io.vertx.example.core.http.sharing.Server,main/1[java.lang.String[]],false,13,2,1,0,1,1,1,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,false
