file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Projetos\LabExperimentacao\medicao-lab2\repos\vjtools\vjtop\src\main\java\com\vip\vjtools\vjtop\WarningRule.java,com.vip.vjtools.vjtop.WarningRule$DoubleWarning,innerclass,0,0,0,0,2,1,0,0,0,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,2,0,2,0,0,0,0,0,0,12,0,0,0,0,0,0,0,4,0,2,0,0,0,0,4,9,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\vjtools\vjkit\src\main\java\com\vip\vjtools\vjkit\number\RandomUtil.java,com.vip.vjtools.vjkit.number.RandomUtil,class,2,13,11,2,41,1,0,22,496,0.0,0.0,0.0,32,32,32,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,41,132,36,0,5,1,5,7,33,6,8,2,1,0,0,0,43,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\vjtools\vjkit\src\test\java\com\vip\vjtools\vjkit\time\ClockUtilTest.java,com.vip.vjtools.vjkit.time.ClockUtilTest,class,3,3,0,3,2,1,0,14,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,26,0,0,0,1,0,0,15,2,0,2,1,0,0,0,11,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\vjtools\vjkit\src\main\java\com\vip\vjtools\vjkit\text\HashUtil.java,com.vip.vjtools.vjkit.text.HashUtil$Anonymous1,anonymous,0,0,0,0,2,1,0,1,0,0.0,NaN,NaN,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,10,1,0,0,1,0,1,0,0,1,0,1,0,0,0,14,-1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\vjtools\vjkit\src\test\java\com\vip\vjtools\vjkit\mapper\BeanMapperTest.java,com.vip.vjtools.vjkit.mapper.BeanMapperTest$Teacher,innerclass,0,0,0,0,4,1,0,0,0,0.25,0.0,0.0,4,0,4,0,0,0,4,0,0,0,1,0,0,1,0,0,0,0,0,15,1,0,0,0,0,0,0,2,0,1,0,0,0,0,5,9,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\vjtools\vjtop\src\main\java\com\vip\vjtools\vjtop\WarningRule.java,com.vip.vjtools.vjtop.WarningRule,class,2,4,2,2,10,1,0,1,10,0.90000004,0.0,0.0,5,0,5,0,0,0,5,0,0,0,16,0,16,0,0,0,0,0,2,74,0,0,3,0,0,0,54,32,32,16,1,0,2,0,32,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\vjtools\vjkit\src\main\java\com\vip\vjtools\vjkit\net\NetUtil.java,com.vip.vjtools.vjkit.net.NetUtil,class,3,5,2,3,12,1,0,9,19,0.8571429,0.0,0.0,7,7,7,0,0,0,7,0,0,0,4,4,2,2,0,0,2,0,7,131,8,2,0,1,0,3,5,9,3,9,2,0,2,0,56,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\vjtools\vjkit\src\test\java\com\vip\vjtools\vjkit\concurrent\threadpool\ThreadPoolUtilTest.java,com.vip.vjtools.vjkit.concurrent.threadpool.ThreadPoolUtilTest$ExceptionTask,innerclass,0,0,0,0,1,1,0,1,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,7,0,0,0,0,0,1,1,1,0,1,0,0,0,0,8,8,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\vjtools\vjmap\src\main\java\com\vip\vjtools\vjmap\utils\FormatUtils.java,com.vip.vjtools.vjmap.utils.FormatUtils,class,0,3,3,0,5,1,0,1,0,0.0,NaN,NaN,1,1,1,0,0,0,1,0,0,0,4,4,0,4,0,0,4,0,5,21,5,0,0,0,4,5,8,4,11,4,1,0,0,0,22,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\vjtools\vjkit\src\main\java\com\vip\vjtools\vjkit\datamasking\strategy\EmailMask.java,com.vip.vjtools.vjkit.datamasking.strategy.EmailMask,class,3,5,2,3,4,2,0,6,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,3,0,2,0,0,1,6,1,0,1,1,0,0,0,9,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\vjtools\vjkit\src\main\java\com\vip\vjtools\vjkit\text\EscapeUtil.java,com.vip.vjtools.vjkit.text.EscapeUtil,class,0,1,1,0,8,1,0,6,15,0.0,0.0,0.0,6,6,6,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,30,8,0,0,2,0,0,0,0,0,0,1,0,0,0,33,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\vjtools\vjkit\src\main\java\com\vip\vjtools\vjkit\concurrent\threadpool\QueuableCachedThreadPool.java,com.vip.vjtools.vjkit.concurrent.threadpool.QueuableCachedThreadPool,class,2,6,4,2,8,6,0,9,4,0.4,0.0,0.0,5,0,4,0,1,0,5,0,0,0,1,0,0,1,0,0,1,0,0,71,1,0,0,2,0,1,2,2,0,2,3,0,1,0,110,17,0
