file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Projetos\LabExperimentacao\medicao-lab2\repos\yanxuan-weex-demo\platforms\android\app\src\main\java\com\weex\app\WXPageActivity.java,com.weex.app.WXPageActivity$Anonymous1$Anonymous2,run/0,false,80,2,13,0,13,1,4,5,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,6,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\yanxuan-weex-demo\platforms\android\app\src\main\java\com\weex\app\WXPageActivity.java,com.weex.app.WXPageActivity$Anonymous1$Anonymous3,run/0,false,92,2,13,0,13,1,4,5,0,0,0,4,0,0,0,0,0,0,1,0,0,1,0,0,0,0,7,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\yanxuan-weex-demo\platforms\android\app\src\main\java\com\weex\app\util\AppPreferences.java,com.weex.app.util.AppPreferences,"set/2[java.lang.String,int]",false,44,1,1,0,1,1,1,3,0,0,2,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,2,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\yanxuan-weex-demo\platforms\android\app\src\main\java\com\weex\app\util\AppPreferences.java,com.weex.app.util.AppPreferences,"getDouble/2[java.lang.String,double]",false,80,0,0,0,0,2,3,8,2,1,2,3,0,0,0,1,0,0,0,0,2,0,1,0,0,0,7,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\yanxuan-weex-demo\platforms\android\app\src\main\java\com\weex\app\util\AppPreferences.java,com.weex.app.util.AppPreferences,"getString/2[java.lang.String,java.lang.String]",false,89,0,2,2,0,2,2,8,2,1,2,2,0,0,0,1,0,0,0,0,2,0,1,0,0,0,7,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\yanxuan-weex-demo\platforms\android\app\src\main\java\com\weex\app\util\AppPreferences.java,com.weex.app.util.AppPreferences,"getInteger/2[java.lang.String,int]",false,70,0,0,0,0,2,3,8,2,1,2,3,0,0,0,1,0,0,0,0,2,0,1,0,0,0,7,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\yanxuan-weex-demo\platforms\android\app\src\main\java\com\weex\app\util\AppPreferences.java,com.weex.app.util.AppPreferences,contains/1[java.lang.String],false,66,1,1,0,1,2,1,3,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,5,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\yanxuan-weex-demo\platforms\android\app\src\main\java\com\weex\app\util\AppPreferences.java,com.weex.app.util.AppPreferences,"getBoolean/2[java.lang.String,boolean]",false,56,0,1,1,0,2,3,8,2,1,2,3,0,0,0,1,0,0,0,0,2,0,1,0,0,0,7,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\yanxuan-weex-demo\platforms\android\app\src\main\java\com\weex\app\util\AppPreferences.java,com.weex.app.util.AppPreferences,"set/2[java.lang.String,double]",false,48,1,1,0,1,1,1,3,0,0,2,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,2,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\yanxuan-weex-demo\platforms\android\app\src\main\java\com\weex\app\util\AppPreferences.java,com.weex.app.util.AppPreferences,getAll/0,false,52,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\yanxuan-weex-demo\platforms\android\app\src\main\java\com\weex\app\util\AppPreferences.java,com.weex.app.util.AppPreferences,"set/2[java.lang.String,java.lang.String]",false,36,0,4,4,0,1,2,3,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\yanxuan-weex-demo\platforms\android\app\src\main\java\com\weex\app\util\AppPreferences.java,com.weex.app.util.AppPreferences,setPreferencesBundle/1[android.os.Bundle],false,32,1,0,0,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\yanxuan-weex-demo\platforms\android\app\src\main\java\com\weex\app\util\AppPreferences.java,com.weex.app.util.AppPreferences,"set/2[java.lang.String,boolean]",false,40,1,1,0,1,1,1,3,0,0,2,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,2,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\yanxuan-weex-demo\platforms\android\app\src\main\java\com\weex\app\extend\ImageAdapter.java,com.weex.app.extend.ImageAdapter$Anonymous1,run/0,false,45,8,13,0,13,8,13,38,3,3,0,13,0,0,0,2,0,0,2,2,4,1,1,1,0,0,14,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\yanxuan-weex-demo\platforms\android\app\src\main\java\com\weex\app\hotreload\HotReloadManager.java,com.weex.app.hotreload.HotReloadManager,"HotReloadManager/2[java.lang.String,com.weex.app.hotreload.HotReloadManager.ActionListener]",true,30,7,3,1,2,3,6,53,1,4,2,6,0,0,0,1,0,0,2,0,5,0,1,1,0,0,50,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\yanxuan-weex-demo\platforms\android\app\src\main\java\com\weex\app\hotreload\HotReloadManager.java,com.weex.app.hotreload.HotReloadManager,destroy/0,false,91,0,1,1,0,3,2,10,0,0,0,2,0,0,0,1,1,0,1,1,0,0,2,0,0,0,7,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\yanxuan-weex-demo\platforms\android\app\src\main\java\com\weex\app\AbsWeexActivity.java,com.weex.app.AbsWeexActivity$WxRefreshListener,onRefresh/0,false,490,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\yanxuan-weex-demo\platforms\android\app\src\main\java\com\weex\app\WXPageActivity.java,com.weex.app.WXPageActivity,"onRequestPermissionsResult/3[int,java.lang.String[],int[]]",false,145,4,5,0,5,1,6,8,0,1,3,6,0,0,0,0,0,0,4,0,1,0,0,0,0,0,8,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\yanxuan-weex-demo\platforms\android\app\src\main\java\com\weex\app\WXPageActivity.java,com.weex.app.WXPageActivity,getUrl/1[android.net.Uri],false,126,2,7,1,6,5,6,13,1,3,1,6,0,0,0,0,0,0,2,0,4,0,3,0,0,0,8,2,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\yanxuan-weex-demo\platforms\android\app\src\main\java\com\weex\app\WXPageActivity.java,com.weex.app.WXPageActivity,handleDecodeInternally/1[java.lang.String],false,219,7,15,1,14,7,18,38,2,5,1,18,0,0,0,0,1,0,11,0,10,0,3,0,0,0,27,2,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\yanxuan-weex-demo\platforms\android\app\src\main\java\com\weex\app\WXPageActivity.java,com.weex.app.WXPageActivity,onCreate/1[android.os.Bundle],false,50,16,16,0,16,9,22,69,1,7,1,22,1,1,0,5,1,0,7,0,15,0,3,1,0,0,59,4,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\yanxuan-weex-demo\platforms\android\app\src\main\java\com\weex\app\WXPageActivity.java,com.weex.app.WXPageActivity,preRenderPage/0,false,140,1,1,0,1,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\yanxuan-weex-demo\platforms\android\app\src\main\java\com\weex\app\WXPageActivity.java,com.weex.app.WXPageActivity,"onRenderSuccess/3[com.taobao.weex.WXSDKInstance,int,int]",false,156,2,1,0,1,1,1,4,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\yanxuan-weex-demo\platforms\android\app\src\main\java\com\weex\app\WXPageActivity.java,com.weex.app.WXPageActivity,onDestroy/0,false,256,1,1,0,1,2,2,6,0,0,0,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,7,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\yanxuan-weex-demo\platforms\android\app\src\main\java\com\weex\app\WXPageActivity.java,com.weex.app.WXPageActivity,"onCreateNestInstance/2[com.taobao.weex.WXSDKInstance,com.taobao.weex.ui.component.NestedContainer]",false,45,3,1,0,1,1,1,3,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,10,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\yanxuan-weex-demo\platforms\android\app\src\main\java\com\weex\app\WXPageActivity.java,com.weex.app.WXPageActivity,onOptionsItemSelected/1[android.view.MenuItem],false,179,3,10,0,10,4,12,23,1,1,1,12,0,0,0,0,0,0,1,0,1,0,1,0,0,0,20,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\yanxuan-weex-demo\platforms\android\app\src\main\java\com\weex\app\WXPageActivity.java,com.weex.app.WXPageActivity,"onException/3[com.taobao.weex.WXSDKInstance,java.lang.String,java.lang.String]",false,162,4,4,0,4,2,4,10,0,0,3,4,0,0,0,0,0,0,1,0,0,1,1,0,0,0,11,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\yanxuan-weex-demo\platforms\android\app\src\main\java\com\weex\app\WXPageActivity.java,com.weex.app.WXPageActivity,"onActivityResult/3[int,int,android.content.Intent]",false,206,5,4,0,4,3,6,12,0,1,3,6,1,1,0,2,0,0,1,0,1,0,2,0,0,0,10,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\yanxuan-weex-demo\platforms\android\app\src\main\java\com\weex\app\WXPageActivity.java,com.weex.app.WXPageActivity,onCreateOptionsMenu/1[android.view.Menu],false,173,1,0,0,0,2,3,4,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\yanxuan-weex-demo\platforms\android\app\src\main\java\com\weex\app\SplashActivity.java,com.weex.app.SplashActivity,onCreate/1[android.os.Bundle],false,18,7,8,0,8,1,7,29,0,4,1,7,0,0,0,0,0,0,0,11,4,0,0,1,0,0,33,4,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\yanxuan-weex-demo\platforms\android\app\src\main\java\com\weex\app\SplashActivity.java,com.weex.app.SplashActivity$Anonymous1,onAnimationStart/1[android.view.animation.Animation],false,33,1,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\yanxuan-weex-demo\platforms\android\app\src\main\java\com\weex\app\SplashActivity.java,com.weex.app.SplashActivity$Anonymous1,onAnimationEnd/1[android.view.animation.Animation],false,37,4,3,0,3,2,6,10,0,2,1,6,0,0,0,1,0,0,2,0,2,0,1,0,0,0,13,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\yanxuan-weex-demo\platforms\android\app\src\main\java\com\weex\app\SplashActivity.java,com.weex.app.SplashActivity$Anonymous1,onAnimationRepeat/1[android.view.animation.Animation],false,49,1,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\yanxuan-weex-demo\platforms\android\app\src\main\java\com\weex\app\util\AppConfig.java,com.weex.app.util.AppConfig,isLaunchLocally/0,false,24,1,2,1,1,1,1,3,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,9,0,false
