file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
C:\Projetos\LabExperimentacao\medicao-lab2\repos\zeppelin\zeppelin-interpreter\src\main\java\org\apache\zeppelin\interpreter\thrift\RemoteInterpreterService.java,org.apache.zeppelin.interpreter.thrift.RemoteInterpreterService$AsyncProcessor$init$Anonymous2,anonymous,5,5,0,5,8,1,0,6,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,48,1,0,0,2,0,6,0,9,0,4,1,0,0,0,22,-1,6
C:\Projetos\LabExperimentacao\medicao-lab2\repos\zeppelin\zeppelin-interpreter\src\main\java\org\apache\zeppelin\interpreter\thrift\RemoteInterpreterEventService.java,org.apache.zeppelin.interpreter.thrift.RemoteInterpreterEventService$getParagraphList_result$_Fields,enum,2,2,0,2,11,1,0,5,5,0.6111111,0.0,0.0,6,3,5,0,0,1,7,0,0,0,3,1,0,3,0,0,3,0,2,37,7,1,1,0,0,4,4,4,1,4,1,0,0,0,50,1,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\zeppelin\zeppelin-interpreter\src\main\java\org\apache\zeppelin\interpreter\util\InterpreterOutputStream.java,org.apache.zeppelin.interpreter.util.InterpreterOutputStream,class,5,9,4,5,19,3,0,14,21,0.7,0.0,0.0,10,0,9,0,1,0,10,0,0,0,3,0,0,1,0,2,0,0,1,57,2,2,4,0,0,3,1,7,1,5,3,0,0,0,46,1,1
C:\Projetos\LabExperimentacao\medicao-lab2\repos\zeppelin\zeppelin-interpreter\src\main\java\org\apache\zeppelin\interpreter\thrift\RemoteInterpreterEventService.java,org.apache.zeppelin.interpreter.thrift.RemoteInterpreterEventService$AsyncProcessor$invokeMethod,innerclass,2,2,0,2,5,1,0,1,10,0.0,0.0,0.0,5,0,4,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,67,3,0,0,0,0,1,0,1,0,1,0,1,0,0,19,9,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\zeppelin\zeppelin-interpreter\src\main\java\org\apache\zeppelin\interpreter\thrift\RemoteInterpreterService.java,org.apache.zeppelin.interpreter.thrift.RemoteInterpreterService$AsyncProcessor$unloadApplication$Anonymous22,anonymous,5,5,0,5,8,1,0,6,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,49,1,0,0,2,0,6,0,10,0,4,1,0,0,0,24,-1,6
C:\Projetos\LabExperimentacao\medicao-lab2\repos\zeppelin\kotlin\src\main\java\org\apache\zeppelin\kotlin\KotlinInterpreter.java,org.apache.zeppelin.kotlin.KotlinInterpreter,class,17,22,5,17,25,2,0,36,63,0.78571427,0.0,0.0,14,0,11,3,0,0,11,0,0,0,5,1,0,5,0,0,0,0,6,103,12,2,4,2,1,11,1,21,1,20,3,0,0,0,79,1,2
C:\Projetos\LabExperimentacao\medicao-lab2\repos\zeppelin\zeppelin-interpreter\src\main\java\org\apache\zeppelin\interpreter\thrift\RemoteInterpreterEventService.java,org.apache.zeppelin.interpreter.thrift.RemoteInterpreterEventService$appendAppOutput_args$appendAppOutput_argsTupleScheme,innerclass,4,4,0,4,5,1,0,8,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,4,5,0,4,1,0,0,0,17,10,0
C:\Projetos\LabExperimentacao\medicao-lab2\repos\zeppelin\jdbc\src\main\java\org\apache\zeppelin\jdbc\JDBCInterpreter.java,org.apache.zeppelin.jdbc.JDBCInterpreter,class,33,37,4,33,181,4,0,223,701,0.95744663,0.0,0.0,47,0,16,25,4,2,22,0,0,0,47,38,0,21,0,26,41,0,28,809,59,14,31,23,1,179,34,172,27,149,7,1,0,2,324,1,39
C:\Projetos\LabExperimentacao\medicao-lab2\repos\zeppelin\zeppelin-interpreter\src\main\java\org\apache\zeppelin\cluster\ClusterMonitor.java,org.apache.zeppelin.cluster.ClusterMonitor,class,8,13,5,8,20,1,0,37,7,0.7460318,0.0,0.0,7,0,3,4,0,0,3,0,0,0,9,2,0,9,0,0,1,0,9,151,2,4,0,0,1,9,8,48,10,32,4,1,1,0,120,1,8
C:\Projetos\LabExperimentacao\medicao-lab2\repos\zeppelin\rlang\src\test\java\org\apache\zeppelin\r\ShinyInterpreterTest.java,org.apache.zeppelin.r.ShinyInterpreterTest,class,16,18,2,16,14,1,1,47,0,0.2,0.0,0.0,5,0,4,0,1,0,5,0,0,0,1,0,0,0,1,0,0,0,9,155,1,0,1,5,0,52,26,42,6,27,2,0,0,3,54,1,0
