file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Projetos\LabExperimentacao\medicao-lab2\repos\zfile\src\main\java\im\zhaojun\zfile\core\exception\StorageSourceNotSupportProxyUploadException.java,im.zhaojun.zfile.core.exception.StorageSourceNotSupportProxyUploadException,StorageSourceNotSupportProxyUploadException/1[java.lang.String],true,10,0,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\zfile\src\main\java\im\zhaojun\zfile\core\util\ProxyDownloadUrlUtils.java,im.zhaojun.zfile.core.util.ProxyDownloadUrlUtils,"validSignatureExpired/3[java.lang.Integer,java.lang.String,java.lang.String]",false,57,4,3,1,2,6,13,28,3,9,3,13,0,0,0,1,1,0,2,3,13,0,2,0,0,0,36,9,2,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\zfile\src\main\java\im\zhaojun\zfile\core\util\ProxyDownloadUrlUtils.java,im.zhaojun.zfile.core.util.ProxyDownloadUrlUtils,"generatorSignature/3[java.lang.Integer,java.lang.String,java.lang.Integer]",false,33,3,2,1,1,4,7,14,1,5,3,7,0,0,0,2,0,0,0,1,7,1,1,0,0,0,43,9,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\zfile\src\main\java\im\zhaojun\zfile\core\exception\ServiceException.java,im.zhaojun.zfile.core.exception.ServiceException,"ServiceException/5[java.lang.String,java.lang.Throwable,boolean,boolean,im.zhaojun.zfile.core.util.CodeMsg]",true,38,1,0,0,0,1,0,4,0,0,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\zfile\src\main\java\im\zhaojun\zfile\core\exception\ServiceException.java,im.zhaojun.zfile.core.exception.ServiceException,ServiceException/1[im.zhaojun.zfile.core.util.CodeMsg],true,19,1,1,1,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\zfile\src\main\java\im\zhaojun\zfile\core\exception\ServiceException.java,im.zhaojun.zfile.core.exception.ServiceException,"ServiceException/2[java.lang.String,im.zhaojun.zfile.core.util.CodeMsg]",true,23,1,0,0,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\zfile\src\main\java\im\zhaojun\zfile\core\exception\ServiceException.java,im.zhaojun.zfile.core.exception.ServiceException,"ServiceException/3[java.lang.String,java.lang.Throwable,im.zhaojun.zfile.core.util.CodeMsg]",true,28,1,0,0,0,1,0,4,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\zfile\src\main\java\im\zhaojun\zfile\core\exception\ServiceException.java,im.zhaojun.zfile.core.exception.ServiceException,"ServiceException/2[java.lang.Throwable,im.zhaojun.zfile.core.util.CodeMsg]",true,33,1,0,0,0,1,0,4,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\zfile\src\main\java\im\zhaojun\zfile\module\log\controller\DownloadLogManagerController.java,im.zhaojun.zfile.module.log.controller.DownloadLogManagerController,batchDelete/1[im.zhaojun.zfile.module.link.model.request.BatchDeleteRequest],false,110,8,2,0,2,1,3,5,1,1,1,3,0,0,0,0,0,0,2,1,1,0,0,0,0,0,8,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\zfile\src\main\java\im\zhaojun\zfile\module\log\controller\DownloadLogManagerController.java,im.zhaojun.zfile.module.log.controller.DownloadLogManagerController,batchDeleteBySearchParams/1[im.zhaojun.zfile.module.link.model.request.QueryDownloadLogRequest],false,120,10,3,0,3,1,15,6,1,2,1,15,0,0,0,0,0,0,10,1,2,0,0,0,0,0,15,1,0,false
