file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Projetos\LabExperimentacao\medicao-lab2\repos\zxing-android-embedded\zxing-android-embedded\src\com\google\zxing\client\android\InactivityTimer.java,com.google.zxing.client.android.InactivityTimer,start/0,false,63,1,3,1,2,1,2,4,0,0,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\zxing-android-embedded\zxing-android-embedded\src\com\google\zxing\client\android\InactivityTimer.java,com.google.zxing.client.android.InactivityTimer,unregisterReceiver/0,false,76,0,1,1,0,2,1,6,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,6,2,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\zxing-android-embedded\zxing-android-embedded\src\com\google\zxing\client\android\InactivityTimer.java,com.google.zxing.client.android.InactivityTimer,activity/0,false,53,1,3,2,1,2,2,6,0,0,0,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,8,1,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\zxing-android-embedded\zxing-android-embedded\src\com\google\zxing\client\android\InactivityTimer.java,com.google.zxing.client.android.InactivityTimer,cancelCallback/0,false,90,0,2,2,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\zxing-android-embedded\zxing-android-embedded\src\com\google\zxing\client\android\InactivityTimer.java,com.google.zxing.client.android.InactivityTimer,cancel/0,false,71,1,5,3,2,1,2,4,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,7,1,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\zxing-android-embedded\zxing-android-embedded\src\com\google\zxing\client\android\InactivityTimer.java,com.google.zxing.client.android.InactivityTimer,"InactivityTimer/2[com.google.zxing.client.android.Context,java.lang.Runnable]",true,42,3,2,1,1,1,0,6,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,11,1,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\zxing-android-embedded\zxing-android-embedded\src\com\google\zxing\client\android\InactivityTimer.java,com.google.zxing.client.android.InactivityTimer,onBattery/1[boolean],false,94,1,1,0,1,2,1,6,0,0,1,1,1,2,0,0,0,0,0,0,1,0,1,0,0,0,4,2,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\zxing-android-embedded\zxing-android-embedded\src\com\google\zxing\client\android\InactivityTimer.java,com.google.zxing.client.android.InactivityTimer,registerReceiver/0,false,83,1,1,1,0,2,1,6,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,6,2,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\zxing-android-embedded\zxing-android-embedded\src\com\google\zxing\client\android\Intents.java,com.google.zxing.client.android.Intents,Intents/0,true,26,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\zxing-android-embedded\zxing-android-embedded\src\com\google\zxing\integration\android\IntentIntegrator.java,com.google.zxing.integration.android.IntentIntegrator,forFragment/1[com.google.zxing.integration.android.Fragment],false,152,3,1,0,1,1,1,5,1,1,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,15,9,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\zxing-android-embedded\zxing-android-embedded\src\com\google\zxing\integration\android\IntentIntegrator.java,com.google.zxing.integration.android.IntentIntegrator,setDesiredBarcodeFormats/1[java.lang.String[]],false,253,1,0,0,0,1,1,4,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,17,1,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\zxing-android-embedded\zxing-android-embedded\src\com\google\zxing\integration\android\IntentIntegrator.java,com.google.zxing.integration.android.IntentIntegrator,setTorchEnabled/1[boolean],false,208,1,1,0,1,1,1,4,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\zxing-android-embedded\zxing-android-embedded\src\com\google\zxing\integration\android\IntentIntegrator.java,com.google.zxing.integration.android.IntentIntegrator,list/1[java.lang.String[]],false,394,0,0,0,0,1,2,3,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\zxing-android-embedded\zxing-android-embedded\src\com\google\zxing\integration\android\IntentIntegrator.java,com.google.zxing.integration.android.IntentIntegrator,forSupportFragment/1[androidx.fragment.app.Fragment],false,140,2,1,0,1,1,1,5,1,1,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,16,9,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\zxing-android-embedded\zxing-android-embedded\src\com\google\zxing\integration\android\IntentIntegrator.java,com.google.zxing.integration.android.IntentIntegrator,createScanIntent/0,false,281,2,3,1,2,4,9,18,1,2,0,9,2,2,1,1,0,0,0,1,2,0,3,0,0,0,23,1,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\zxing-android-embedded\zxing-android-embedded\src\com\google\zxing\integration\android\IntentIntegrator.java,com.google.zxing.integration.android.IntentIntegrator,setCaptureActivity/1[java.lang.Class<?>],false,115,1,0,0,0,1,0,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,20,1,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\zxing-android-embedded\zxing-android-embedded\src\com\google\zxing\integration\android\IntentIntegrator.java,com.google.zxing.integration.android.IntentIntegrator,setPrompt/1[java.lang.String],false,172,1,1,0,1,2,1,6,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,18,17,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\zxing-android-embedded\zxing-android-embedded\src\com\google\zxing\integration\android\IntentIntegrator.java,com.google.zxing.integration.android.IntentIntegrator,getDefaultCaptureActivity/0,false,94,1,1,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,false
C:\Projetos\LabExperimentacao\medicao-lab2\repos\zxing-android-embedded\zxing-android-embedded\src\com\google\zxing\integration\android\IntentIntegrator.java,com.google.zxing.integration.android.IntentIntegrator,"parseActivityResult/3[int,int,com.google.zxing.integration.android.Intent]",false,359,3,1,0,1,2,1,6,2,0,3,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,54,9,0,true
C:\Projetos\LabExperimentacao\medicao-lab2\repos\zxing-android-embedded\zxing-android-embedded\src\com\google\zxing\integration\android\IntentIntegrator.java,com.google.zxing.integration.android.IntentIntegrator,setCameraId/1[int],false,195,1,1,0,1,2,1,6,1,0,1,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,19,1,0,true
