nameWithOwner;name;url;stargazerCount;releases;createdAt;ageInYears
Snailclimb/JavaGuide;JavaGuide;https://github.com/Snailclimb/JavaGuide;131828;0;07/05/2018 13:27:00;4
iluwatar/java-design-patterns;java-design-patterns;https://github.com/iluwatar/java-design-patterns;80242;0;09/08/2014 16:45:18;8
MisterBooo/LeetCodeAnimation;LeetCodeAnimation;https://github.com/MisterBooo/LeetCodeAnimation;72498;0;06/12/2018 08:01:22;4
doocs/advanced-java;advanced-java;https://github.com/doocs/advanced-java;69056;1;06/10/2018 11:38:30;4
spring-projects/spring-boot;spring-boot;https://github.com/spring-projects/spring-boot;66063;163;19/10/2012 15:02:57;10
macrozheng/mall;mall;https://github.com/macrozheng/mall;64096;2;04/04/2018 01:11:44;4
elastic/elasticsearch;elasticsearch;https://github.com/elastic/elasticsearch;63004;108;08/02/2010 13:20:56;13
GrowingGit/GitHub-Chinese-Top-Charts;GitHub-Chinese-Top-Charts;https://github.com/GrowingGit/GitHub-Chinese-Top-Charts;60465;0;05/09/2019 03:01:56;3
kdn251/interviews;interviews;https://github.com/kdn251/interviews;59338;0;14/02/2017 18:19:25;6
spring-projects/spring-framework;spring-framework;https://github.com/spring-projects/spring-framework;51043;249;08/12/2010 04:04:45;12
TheAlgorithms/Java;Java;https://github.com/TheAlgorithms/Java;50677;0;16/07/2016 10:21:02;6
google/guava;guava;https://github.com/google/guava;46970;35;29/05/2014 16:23:17;8
ReactiveX/RxJava;RxJava;https://github.com/ReactiveX/RxJava;46865;231;08/01/2013 20:11:48;10
square/retrofit;retrofit;https://github.com/square/retrofit;41262;0;06/09/2010 21:39:43;12
apache/dubbo;dubbo;https://github.com/apache/dubbo;38534;76;19/06/2012 07:56:02;10
NationalSecurityAgency/ghidra;ghidra;https://github.com/NationalSecurityAgency/ghidra;37850;26;01/03/2019 03:27:48;4
PhilJay/MPAndroidChart;MPAndroidChart;https://github.com/PhilJay/MPAndroidChart;36213;44;25/04/2014 14:29:47;8
jeecgboot/jeecg-boot;jeecg-boot;https://github.com/jeecgboot/jeecg-boot;33838;25;26/11/2018 10:40:00;4
skylot/jadx;jadx;https://github.com/skylot/jadx;33682;27;18/03/2013 17:08:21;9
airbnb/lottie-android;lottie-android;https://github.com/airbnb/lottie-android;33679;44;06/10/2016 22:42:42;6
eugenp/tutorials;tutorials;https://github.com/eugenp/tutorials;33601;0;29/04/2013 18:26:36;9
bumptech/glide;glide;https://github.com/bumptech/glide;33423;44;08/07/2013 22:52:33;9
geekxh/hello-algorithm;hello-algorithm;https://github.com/geekxh/hello-algorithm;32116;0;29/05/2020 05:47:09;2
Blankj/AndroidUtilCode;AndroidUtilCode;https://github.com/Blankj/AndroidUtilCode;31936;117;30/07/2016 18:18:32;6
alibaba/arthas;arthas;https://github.com/alibaba/arthas;31920;47;29/08/2018 17:15:57;4
dbeaver/dbeaver;dbeaver;https://github.com/dbeaver/dbeaver;31003;171;21/10/2015 08:26:28;7
netty/netty;netty;https://github.com/netty/netty;30832;0;09/11/2010 09:22:21;12
zxing/zxing;zxing;https://github.com/zxing/zxing;30755;29;12/10/2011 14:07:27;11
xkcoding/spring-boot-demo;spring-boot-demo;https://github.com/xkcoding/spring-boot-demo;28941;0;10/11/2017 06:27:29;5
ityouknow/spring-boot-examples;spring-boot-examples;https://github.com/ityouknow/spring-boot-examples;28653;0;05/11/2016 05:32:33;6
apolloconfig/apollo;apollo;https://github.com/apolloconfig/apollo;27833;38;04/03/2016 10:24:23;7
alibaba/easyexcel;easyexcel;https://github.com/alibaba/easyexcel;27042;5;06/02/2018 03:14:08;5
crossoverJie/JCSprout;JCSprout;https://github.com/crossoverJie/JCSprout;26950;0;17/12/2017 09:06:50;5
alibaba/druid;druid;https://github.com/alibaba/druid;26638;48;03/11/2011 05:12:51;11
halo-dev/halo;halo;https://github.com/halo-dev/halo;26280;110;21/03/2018 12:56:52;4
SeleniumHQ/selenium;selenium;https://github.com/SeleniumHQ/selenium;26028;80;14/01/2013 21:40:56;10
qiurunze123/miaosha;miaosha;https://github.com/qiurunze123/miaosha;25764;0;14/09/2018 04:36:24;4
